R0022	1.15	P	-	CHANGE	Recovered from the 1.2 stacking gap: 'burn pool effects are cumulative' is the core stacking template 1.15 was added to own; 1.2 owns periodicity, not stacking.
R0035	2.4	P	-	KEEP	Not 3.10 -- this is ordering of who plays first when two minions simultaneously want to act ('when a vampire should go into torpor'); no minion is substituted into the action, so 2.4 correctly owns it.
R0048	1.15	P	-	CHANGE	Same stacking template as Aching Beauty.2 ('the cost is cumulative if multiple copies'); now owned by 1.15, not 1.2.
R0073	1.15	P	-	CHANGE	Same 'burn X effects are cumulative' template; 1.15 territory.
R0098	6.9	P	-	CHANGE	6.9's scope was explicitly widened to 'effects that explicitly require showing a kept card' -- this ruling is exactly that instance, no longer homeless.
R0122	1.7,1.2	G	general arithmetic-order principle for ability values with an inherent floor/minimum (apply modifiers before the floor) — distinct from 1.7's cost-arithmetic order, which is the nearest kin	KEEP	Not 1.15 -- this is arithmetic order for a single ability value against its own floor/minimum ('add and subtract before applying the minimum'), not multiple instances of an effect combining. 1.15 doesn't reach single-value arithmetic-vs-floor ordering. Remains G.
R0131	1.9	P	-	CHANGE	1.9's scope was explicitly widened to include an empty *crypt* precondition, the same class as its named 'empty library' case -- this is that exact instance.
R0133	3.5,3.6	P	-	KEEP	Mask of a Thousand Faces is mentioned only as a continuation mechanism blocked by cancellation; the ruling teaches NRA/continuation (3.5/3.6) -- what a canceled combat blocks -- not which modifiers carry over on a masking substitution (3.10's scope). No change.
R0143	1.15	E	-	CHANGE	This is the taxonomy's own cited founding example for 1.15 (per-copy damage stacking).
R0146	1.1	P	-	KEEP	Not 3.10 -- 'that minion'/'this minion' is a card-text pronoun convention (1.1), not an instance of substituting a different minion into the action.
R0161	5.3,1.15	G	torpor-rescue burning all such clot counters remains homeless (nearest 5.3); the stacking half (multiple clot counters cumulative on one vampire) is now owned by 1.15, replacing the old 1.2 near-miss.	CHANGE	Only half the gap closed: the stacking half moves to 1.15, but nothing owns 'rescue burns all stacking counters,' so the row stays G with 5.3 as nearest for that remaining half.
R0164	2.1	E	-	KEEP	Not 3.10 -- 'controller of the acting minion' identifies who may play the reaction; no minion is substituted into the action. 2.1 correctly owns reaction-eligibility timing.
R0165	3.5,1.15	E	-	CHANGE	'Multiple copies can be played by different minions on the same action' is 1.15's own scope line verbatim (multiple copies each exerting their effect); replaces the ill-fitting 1.2. Keeping 3.5 as before.
R0228	3.4	E	!TENSION:no-effect-plays permissive side: the action proceeds and can even succeed while having no effect, mirroring Draba.3	KEEP	Not 1.15/3.10 -- 'acting minion' only identifies the equipment holder whose possession is tested at resolution; no stacking or substitution question here. 3.4 correctly owns the successful-but-no-effect template (tension tag unaffected).
R0266	5.7	E	-	KEEP	Not 5.9 -- 5.7 already explicitly names Black Hand as a special class; this is Black-Hand-requires-Sabbat, a class-membership fact, not a trait-change-precedence or cross-card-trigger-recognition question. 5.9 doesn't reach it.
R0273	1.15	P	-	CHANGE	Same cumulative-burn template as Aching Beauty.2/Archon.3; this is also the taxonomy's cited watch-list exemplar for 1.15.
R0275	1.15	E	-	CHANGE	'The same vampire can be chosen multiple times if multiple copies are played' is per-copy independent targeting -- 1.15's domain, not 1.2 periodicity.
R0278	3.4	E	!TENSION:no-effect-plays permissive side, identical wording to Bomb.3: action proceeds and can succeed while having no effect	KEEP	Same as Bomb.3 -- 'acting minion' only identifies the equipment holder; not stacking, not substitution. 3.4 stays correct (tension tag unaffected).
R0300	6.2	C	Chain of Command's own crypt-return condition when its temporary vampires can't bleed; fails transfer — no other card shares this specific requirement-then-return mechanic. Nearest 6.2 (temporary control) but that section doesn't own this return condition.	KEEP	-
R0301	3.4	P	-	KEEP	Not 1.15/3.10 -- 'acting minion' only identifies the equipment holder for this successful-but-no-effect template. 3.4 correctly owns it.
R0303	5.1	C	Card-specific clarification of what Chameleon may target (own vampires, to grant Anarch sect); fails transfer — answers only this card's own targeting legality. Nearest 5.1 (vampire trait changes), which doesn't own targeting scope.	KEEP	Not 5.9 -- this is a targeting-legality restriction (Chameleon may only target your own vampires) for a sect-granting effect, not a trait-precedence conflict or a cross-card trigger-recognition question. Remains C, fails transfer.
R0311	4.1,2.5	E	-	KEEP	Not 3.10 -- 'the acting minion stays the same' affirms combat CONTINUES under the original actor (the negation of a substitution); it teaches persistence through a reaction (4.1/2.5), not the carry-over/eligibility mechanics 3.10 was built to own.
R0323	3.9	P	-	CHANGE	Taxonomy names this ruling directly as 3.9's evidence for the stuck-and-cannot-act outcome when a mandatory action is prevented.
R0353	5.9	P	-	CHANGE	States clan-and-sect trait independence (changing one does not change the other) -- exactly 5.9's 'traits as things effects read and write.'
R0355	5.8,5.1	P	-	KEEP	Not 5.9 -- this is the title-benefit-loss/yielding consequence of a clan mismatch, which the taxonomy explicitly keeps in 5.8 ('a ruling about a title's votes belongs in 5.8, not 5.9,' even though it names a trait change). Keeping 5.8,5.1.
R0356	5.9,5.1	P	-	CHANGE	This is the core 'later effect governs' precedence rule applied to the clan trait -- 5.9's defining scope, not 2.4 (which the taxonomy clarifies owns only simultaneous-effect ordering). Kept 5.1 as the clan-specific secondary.
R0364	3.2	E	-	KEEP	Same reaction-eligibility template as Blanket of Night.1 -- not 3.10, no minion is substituted.
R0366	3.2,1.15	E	-	CHANGE	Same multi-copy-independent-play template as Blanket of Night.2; 1.15 replaces 1.2.
R0367	5.8	P	-	CHANGE	Identical principle to the already-correctly-labeled 5.8 P rows in this same chunk (Garibaldi-Meucci Museum.2, Powerbase: Los Angeles.1: 'a card/action requiring a Baron is one requiring an Anarch'); the original classifier paired it with CrimethInc..2 as 'the same gap,' so it is corrected the same way, per golden rule 5 (identical rulings, identical labels). Not a 5.9 matter -- no trait-precedence conflict.
R0411	1.15	E	-	CHANGE	'Multiple Courier can look at and discard the top library card in succession' -- per-copy trigger stacking, 1.15's domain.
R0414	6.3,1.1	P	-	KEEP	Not 3.9 -- this is a mandatory EFFECT on a card (forced predator control-take), already owned by 1.1's existing 'mandatory vs. optional effects' scope, not a mandatory ACTION a minion takes. 3.9 is specifically scoped to actions.
R0419	5.8	P	-	CHANGE	Same principle, verbatim, as the already-P rows Garibaldi-Meucci Museum.2 and Powerbase: Los Angeles.1 in this chunk (Baron-requirement implies Anarch-requirement); this was simply mislabelled G where its siblings were correctly P. Not 5.9 -- this is a title/sect-requirement equivalence, not a trait-precedence conflict.
R0424	3.9	P	-	CHANGE	Taxonomy names this ruling directly as 3.9's evidence for the discharge sub-topic (free to act normally once the mandatory action is performed).
R0453	2.4	E	-	KEEP	Not 3.10 -- ordering of two simultaneous card plays by the acting minion's controller; no substitution of the actor. 2.4 correctly owns it.
R0462	5.3,2.4	P	-	KEEP	Not 3.10 -- 'acting minion goes first' is the same simultaneous-play ordering question as Amaranth.1, not a substitution.
R0467	3.10,5.9	P	-	CHANGE	Taxonomy's own 3.10 scope line names 'Deep Song-style actor redefinition' as a worked example, and separately cites Deep Song.2 as one of the three generic-precedence rulings behind 5.9. 2.4 dropped -- the taxonomy clarifies 2.4 owns only simultaneous-effect ordering, not this later-effect-governs precedence between non-simultaneous conflicting effects.
R0475	3.8	E	-	KEEP	Not 3.10 -- 'still considered to have taken a political action' is an NRA/action-count rule; no minion is substituted. 3.8 correctly owns it.
R0481	-	C	restates Derange's own targeting restriction (cannot move it to a vampire already of the target clan); fails non-obviousness — follows directly from the card's printed clan-change effect. No section owns single-card targeting restrictions like this; nearest 1.6.	KEEP	Not 5.9 -- a clan-targeting restriction specific to Derange's own printed effect (cannot move it onto an already-matching clan); no trait-precedence conflict or cross-card recognition question. Remains C.
R0483	5.9	P	-	CHANGE	Clan/sect trait-independence statement, same pattern as Clan Impersonation.2 -- core 5.9.
R0484	5.8	P	-	KEEP	Same title-consequence template as Fall of the Camarilla.3 etc. -- stays 5.8 per the taxonomy's explicit guard, even though it is triggered by a clan change rather than a sect change.
R0487	5.9	P	-	CHANGE	Taxonomy names this ruling directly as one of 5.9's three generic-precedence rulings (the clan instance of 'later effect governs'). 2.4 dropped for the same reason as Deep Song.2.
R0539	5.4	P	-	KEEP	Not 3.10 -- this is about whether a burn is attributed to the acting minion's OWN action for trigger purposes (5.4's burn-attribution domain), not about substituting a different minion into the action.
R0550	5.1	E	-	KEEP	Not 5.9 -- which traits a copy-effect duplicates (clan/sect/capacity/disciplines vs. titles/Infernal/Scarce) is a copy-mechanics scope question (5.1's domain), not a trait-change-precedence or cross-card-trigger-recognition question that 5.9 owns.
R0567	6.1	E	-	KEEP	Same reaction-eligibility template as Blanket of Night.1 -- not 3.10.
R0587	2.1,6.1	E	-	KEEP	Same reaction-eligibility template -- not 3.10.
R0594	4.9,2.5	P	-	KEEP	Same continuity note as Champion.2 -- 'the acting minion stays the same' is the negation of a substitution, teaching combat continuation (4.9/2.5), not 3.10's carry-over mechanics.
R0613	2.5,1.12	E	-	KEEP	-
R0625	6.5	C	auction/bid resolution mechanics specific to Extremis Boon's own card text; taxonomy explicitly names this ruling as a rejected single-card topic mislabelled G -- fails transfer.	CHANGE	Taxonomy's rejected-candidates list explicitly names the Extremis Boon auction rulings as single-card topics mislabelled G; corrected to C per that explicit instruction.
R0626	6.5	C	minimum-bid requirement specific to Extremis Boon's own card text; same explicit rejection as Extremis Boon.1 -- fails transfer.	CHANGE	Same explicit taxonomy rejection as Extremis Boon.1.
R0630	3.6,1.2	E	-	KEEP	Not 1.15 -- gaining the maneuver again is triggered by a NEW block event (periodicity/continuation, 3.6/1.2's domain), not simultaneous multi-instance stacking.
R0639	5.9	P	-	CHANGE	A temporary sect override changing the outcome of a sect-change card is the override-vs-permanent-change mechanism 5.9 was built to own; part of the Galaric's Legacy cluster that founded 5.9.
R0640	5.9	P	-	CHANGE	This is the core precedence statement itself ('most recent override takes precedence... underlying sect returns when it leaves play') -- 5.9's defining clause almost verbatim.
R0641	5.8	P	-	KEEP	Title-consequence template -- stays 5.8 per the taxonomy's explicit guard (a ruling about a title's benefit stays 5.8, not 5.9).
R0642	5.9	P	-	CHANGE	Whether a bypassed/overridden trait counts as satisfying another card's requirement -- 5.9's 'counts as the trait for other cards' requirements' clause.
