R0043	P	secondary	100050|Anachronism.1	All weapons that provide ranged strikes are considered "ranged weapons" (eg. {Kerrie}). [LSJ 20060825]
R0044	P	PRIMARY	100051|Ananasi Vampirephile.1	When setting the range for the round, no other effect can be used to reset the range. Skip the determine range step on that round, but other pre-range effects can be played afterwards. [RTR 19970630] [ANK 20180720]
R0090	P	PRIMARY	100103|Asanbonsam Ghoul.1	If another effect also sets the range, the first to resolve has priority (eg. {Squirrel Balance} resolves before, {Neutral Guard} resolves after). [PIB 20120214]
R0201	E	PRIMARY	100205|Blood of the Cobra.1	[QUI] If the chosen strike says to make a hand strike or a melee weapon strike, then the strike is ranged, but the hand or melee weapon portion of the strike is still only effective at close range. [RTR 20010710]
R0209	E	PRIMARY	100214|Blood to Water.1	Must be played after range is chosen, can be played before or after strikes are chosen. [ANK 20200703] [LSJ 20031008]
R0225	E	secondary	100232|Bollix.3	[tha] Does not protect from weapons if played at long range. [ANK 20230823]
R0245	P	PRIMARY	100252|Brick by Brick.1	[VIS] No other effect can be used to reset the range, but other pre-range effects can be played afterwards. [RTR 19970630] [ANK 20180720]
R0263	E	secondary	100273|Burst of Sunlight.1	Damage done to the striking minion is environmental, it is inflicted regardless of the range. [LSJ 19970801] [ANK 20221212]
R0329	P	PRIMARY	100330|Charge of the Buffalo.2	No other effect can be used to reset the range. Skip the determine range step on that round, but other pre-range effects can be played afterwards. [RTR 19970630] [ANK 20180720]
R0369	P	PRIMARY	100376|Cold Aura.1	No other effect can be used to reset the range. Skip the determine range step on that round, but other pre-range effects can be played afterwards. [RTR 19970630] [ANK 20180720]
R0563	E	PRIMARY	100604|Earthshock.1	Can be used at long range to target a retainer, even if their employer has flight [FLIGHT]. [LSJ 20060509]
R0599	E	PRIMARY	100651|Entombment.1	Only effective at close range. [RBK resolve-strike] [LSJ 20000110]
R0663	E	PRIMARY	100711|Fear of the Void Below.1	[dai], [DAI] Affects the range immediately (eg. {Outside the Hourglass} and {Alpha Glint} could be played, but not {Disarm} because the range is long). [LSJ 20100709]
R0745	P	PRIMARY	100802|Gang Tactics.1	If blocked, no other effect can be used to reset the range, but other pre-range effects can be played. [RTR 19970630] [ANK 20180720]
R0746	P	PRIMARY	100802|Gang Tactics.2	If another effect also sets the range, the first to resolve has priority (eg. {Asanbonsam Ghoul} and {Neutral Guard} resolve after). [PIB 20120214]
R0772	P	PRIMARY	100832|Giulia Giovanni Abruzzina.1	When setting the range for the round, no other effect can be used to reset the range. Skip the determine range step this round, but other pre-range effects can be played afterwards. [RTR 19970630] [ANK 20180720]
R0790	P	PRIMARY	100850|Grasp of the Python.2	[SER] No other effect can be used to reset next round's range, but other pre-range effects can be played. [RTR 19970630] [ANK 20180720]
R0791	P	PRIMARY	100850|Grasp of the Python.3	[SER] If another effect was already setting next round's range (eg. {Neutral Guard}), that effect has priority. [PIB 20120214]
R0869	P	PRIMARY	100925|High Ground.1	When setting the range for the round, no other effect can be used to reset the range. Skip the determine range step this round, but other pre-range effects can be played afterwards. [RTR 19970630] [ANK 20180720]
R0902	P	PRIMARY	100959|Immortal Grapple.4	[POT] No other effect can be used to reset next round's range, but other pre-range effects can be played. [RTR 19970630] [ANK 20180720]
R0903	P	PRIMARY	100959|Immortal Grapple.5	[POT] If another effect was already setting next round's range (eg. {Neutral Guard}), that effect has priority. [PIB 20120214]
R0941	P	PRIMARY	100998|Internal Recursion.3	[tem] No other effect can be used to reset the range, but other pre-range effects can be played afterwards. [RTR 19970630] [ANK 20180720]
R1002	P	PRIMARY	101071|Lam Into.3	[vic] No other effect can be used to reset next round's range, but other pre-range effects can be played. [RTR 19970630] [ANK 20180720]
R1003	P	PRIMARY	101071|Lam Into.4	[vic] If another effect was already setting next round's range (eg. {Neutral Guard}), that effect has priority. [PIB 20120214]
