R0016	P	PRIMARY	100011|Absimiliard's Army.2	The card used to represent the ally is face up, but the name on that card is ignored if something goes looking for a card by name. They do not contest. [LSJ 20040623] [LSJ 20071003]
R0027	P	PRIMARY	100025|Agent of Power.2	If used as a placeholder to represent something else, its text does not apply (including the "Unique" part). A {Shock Troops} vampire would simply be a non-unique 1-cap Sabbat with no clan and no discipline. [LSJ 20071001-1]
R0147	E	PRIMARY	100160|Bima.1	The discipline needs not be announced when Bima is played. The replacement card can be used if it is a discipline. [PIB 20150418]
R0148	E	PRIMARY	100160|Bima.2	"that Discipline" refers to the card on Bima. If the card is no longer there, then the effect cannot be used. [LSJ 20071006]
R0379	E	PRIMARY	100388|Compel the Spirit.4	Cannot be used if the ally in the ash heap was representing something else while in play (eg. {Khazar's Diary (Endless Night)}). [LSJ 20071014]
R0888	E	PRIMARY	100954|Illusions of the Kindred.5	If the illusionary vampire does not enter combat, then they are removed from the game at the end of the current action. [LSJ 19991110]
R0889	E	secondary	100954|Illusions of the Kindred.6	If the illusionary vampire is burned in combat (aggravated damage or blood hunt referendum after an {Amaranth}), they go to the ash heap and cannot be removed from the game. [PIB 20110810]
R0890	E	secondary	100954|Illusions of the Kindred.7	Even if they have the same name as a vampire in play, the illusionary vampire is considered different for all purposes (eg. {Jimmy Dunn (G2)}'s ability does not trigger). [LSJ 20100213] [LSJ 19991110]
R0892	E	PRIMARY	100954|Illusions of the Kindred.9	If the card drawn is an imbued, the imbued would briefly come into play, become incapacitated, and then be removed from the game. [LSJ 20060323]
R1303	E	secondary	101385|Père Lachaise, France.2	The crypt card on it is out of play and should be face down. [LSJ 20040812]
R1357	E	PRIMARY	101481|Pressing Flesh.4	A card burned while representing something else (eg. an ally raised by {Khazar's Diary (Endless Night)}) is not a valid target. [LSJ 20100325-2]
R1426	P	PRIMARY	101561|Reality Mirror.1	Cannot be used to bypass restrictions (like Clan restriction or any other play restriction). [LSJ 20020426]
R1698	E	PRIMARY	101845|Spell of Life.4	If one of the mummy is burned, the card goes to the ash heap where it counts as a vampire (eg. {Possession} can be used, but not {Compel the Spirit}). [LSJ 20071014]
R1924	E	PRIMARY	102067|Undue Influence.2	All variants are affected by {Blood Cult Awareness Network}. [LSJ 20060414]
