R0025	E	secondary	100024|Agate Talisman.1	Can be equipped by a vampire with capacity less than 4, although they cannot lock it to get a vote. [LSJ 20030607]
R0337	P	secondary	100334|Charming Lobby.6	If used on a political action card in hand, that card is considered "played" when the action reaches successful resolution and provides its inherent vote. [ANK 20220704]
R0391	P	PRIMARY	100400|Condemnation: Mute.1	Only affects votes, and not ballots. [PIB 20110802]
R0474	P	secondary	100519|Delaying Tactics.1	May be played before, during, or after votes and ballots have been cast. [LSJ 19980130]
R0511	P	secondary	100550|Disarming Presence.1	Locking is a side effect, not a cost. Locked vampires can still vote. [RTR 19941109]
R0512	P	PRIMARY	100550|Disarming Presence.2	Vampires are locked when they cast their votes. [RTR 19970425]
R0572	P	secondary	100608|Echo of Harmonies.6	[MEL] When the retained political action is played, requirements must be met, it provides 1 vote and can be canceled as it is played. [LSJ 20100426] [LSJ 20091128] [LSJ 20011205]
R0665	E	PRIMARY	100722|Ferraille.1	Do not vote if the cost ousts you. [LSJ 20081105]
R0947	E	PRIMARY	101013|Island of Yiaros.1	Provides no additional strength to a Priscus for his ballots. [RTR 19970630]
R0982	E	PRIMARY	101049|Kindred Coercion.1	[dom] Can force a vampire who has not voted yet to keep abstaining. [RTR 19991001]
R0983	P	PRIMARY	101049|Kindred Coercion.2	[DOM] Playable on an abstaining vampire: it does not force them to vote, but restricts their choice if they do. [RTR 19991001] [LSJ 20030828]
R0984	P	PRIMARY	101051|Kindred Manipulation.1	Playable on an abstaining vampire: it does not force them to vote, but restricts their choice if they do. [RTR 19991001] [LSJ 20030828]
R1014	P	PRIMARY	101078|Leadership Vacuum.1	The votes include bonus votes from cards or ability (eg. {Eze, The Demon Prince}, {Firebrand}) but not conditional votes (eg. {Sundown}, {Aura of Invincibility}). [ANK 20211009] [LSJ 20040518-2]
R1015	E	PRIMARY	101078|Leadership Vacuum.2	Priscus ballots are not taken into account. [ANK 20211009] [LSJ 20041025]
R1028	P	secondary	101087|Legacy of Pander.1	Multiple copies in play give only 1 vote in total to non-titled Panders. [LSJ 20010819] [PIB 20130722]
R1041	E	PRIMARY	101109|Lily Prelude.1	Can allocate more points than a Methuselah has pool. [LSJ 20020819]
R1061	E	PRIMARY	101130|Loyalist.1	If the Loyalist vampire's votes are changed to be in favor, the votes granted by Loyalist are silenced (not cast). [LSJ 20031115]
R1079	E	PRIMARY	101141|Madrigal.1	[MEL] Will have no effect if the vampire who played it abstains, even if he is forced to abstain. The effect operates on the final disposition of the vampire's votes at the time the votes are tallied. [LSJ 20020123]
R1080	E	PRIMARY	101141|Madrigal.2	[MEL] When used as an action modifier, the acting vampire gains one blood if he does not abstain, as he can only vote in agreement with himself. [LSJ 20020123]
R1321	P	secondary	101406|Poison Pill.2	Gaining pool does not count as a negative loss. If a vote entails both a gain and a loss (eg. {Ancient Influence}), only the loss is counted, not the difference. [ANK 20180813] [LSJ 20041025]
R1323	E	PRIMARY	101418|Political Struggle.1	The acting vampire gains X votes if the vampire with this card is burned, no matter how that vampire is burned. [LSJ 19990119]
R1324	E	secondary	101418|Political Struggle.2	If the victim is burned by diablerie, the votes gained from Political Struggle are gained before the blood hunt referendum. [LSJ 20050707]
R1325	P	PRIMARY	101418|Political Struggle.3	The votes include bonus votes from cards or ability (eg. {Eze, The Demon Prince}, {Firebrand}) but not conditional votes (eg. {Sundown}, {Aura of Invincibility}). [ANK 20211009] [LSJ 20040518-2]
R1326	E	PRIMARY	101418|Political Struggle.4	Priscus ballots are not taken into account. [ANK 20211009] [LSJ 20041025]
R1413	E	PRIMARY	101546|Rastacourere.1	Does not affect the Prisci sub-referendum. [LSJ 20041202]
R1429	E	PRIMARY	101567|Reckless Agitation.1	Cannot allocate 6 points to a single Methuselah, nor any point to yourself. Cannot be played if there is only one opponent left. [LSJ 20000622] [LSJ 20100129]
