R1527	pure two-card interaction (Sacrificial Lamb + {Soul Gem of Etrius} transfer-lock); fails transfer beyond this specific equipment pairing. Nearest 6.3	101672|Sacrificial Lamb.1	If the target has a {Soul Gem of Etrius}, the Gem effect applies and it cannot be transferred. [LSJ 19970516]
R1530	obvious application — an ability requiring a target resource (equipment to steal) cannot fire absent that resource; fails non-obviousness. Nearest 4.10	101675|Samuel Haight.1	He cannot "steal equipment as a strike" if there is no equipment to steal. [RTR 19980928]
R1535	confirms this card can be played by minions of methuselahs not involved in the combat because its own text carries no participation restriction; fails transfer/non-obviousness — reads the absence of a restriction literally. Nearest 4.1	101684|Save Face.2	Can be played by a minion of a Methuselah not involved in the current combat. [ANK 20181101]
R1552	card-specific counter/discipline-bonus mechanics; fails transfer — no other card shares this exact counter-to-discipline mapping. Nearest 1.12	101703|Seal of Veddartha.1	Accumulates the four counters regardless of the owner's disciplines. The first two provide Dominate levels, the last two Fortitude levels. [LSJ 20070320-2]
R1583	an effect-created ally's "cost of zero" is a routine consequence of abnormal entry (not played from hand, so no cost was ever set); fails non-obviousness. Nearest 1.6	101731|Set's Curse.3	Once in play, is an ally with a cost of zero. [LSJ 20080804]
R1604	"combat card usable only in combat" restates the obvious combat-timing rule; fails non-obviousness. Nearest 5.5 (Satyr's as-a-vampire ability) but teaches nothing about that mechanism specifically	101737|Shadow Court Satyr.3	Can only use the combat card when he is in combat. [LSJ 20060502]
R1620	bare damage-type classification fact about one card; no interaction or consequence stated. Fails transfer — doesn't inform another card's ruling	101752|Shame.1	Damage is environmental. [RTR 19970630]
R1626	clarifies scope of this card's own rearrange effect (which item types are covered); doesn't inform other cards' effect scopes. Nearest 1.12 (cards on cards)	101765|Shepherd's Innocence.2	[ANI] Retainers and Equipments you control can also be rearranged. [LSJ 20080803-2] [LSJ 19981102]
R1627	numeric/no-limit fact specific to this card's own storage capacity; no transfer to other storage cards, which print their own limits. Nearest 1.14	101767|Shilmulo Tarot.1	There is no limit to the number of cards it can store. [PIB 20110712-2]
R1635	pure card-vs-card fact ({Unleash Hell's Fury} vs this card's bearer); fails transfer — concerns only these two named cards. Nearest 3.3 (who may block)	101781|Signet of King Saul, The.1	{Unleash Hell's Fury} cannot block the bearer. [ANK 20190501]
R1699	card-vs-card exemption fact ({Wormwood} doesn't affect these tokens); fails transfer — concerns only this pairing. Nearest 1.4 (representation)	101845|Spell of Life.5	The mummies are not affected by {Wormwood}. [LSJ 20100716]
R1701	narrow non-contest fact between named variant printings of one card family; fails transfer beyond this small family. Nearest 4.5 (prevention effects usable together)	101847|Spirit Claws.2	[SPI][PRO] The [pro] and [spi][pro] versions do not contest with it. [ANK 20180629]
R1729	card-specific crypt-retrieval pairing rule (Aye/Orun) unique to this Laibon mechanic; fails transfer to other retrieval effects. Nearest 6.7	101862|Static Virtue.1	For a Laibon moved into the ready region in the last influence phase, you must retrieve Aye and Orun in pairs: the same number of Aye as Orun. [LSJ 20051127]
R1742	shuffles its own crypt after this card's search effect; standard post-search shuffle convention, fails non-obviousness. Nearest 1.10 (burn/remove-from-game triggers), which doesn't own literal shuffle instructions	101881|Stranger Among Us, The.1	Shuffle your crypt afterwards. [LSJ 20020304-1]
R1746	this card's own burn condition tied to the bled action's outcome; fails transfer, no evidence of a recurring formula. Nearest 3.5 (action cancellation consequences), which owns cancellation generally, not this bespoke burn trigger	101886|Strike with Conviction.1	If the action to bleed is blocked or canceled, Strike with Conviction is not burned. [LSJ 20060421] [RTR 20111202]
