R0005	E	PRIMARY	100004|Abactor.2	This is not a diablerie. Neither {Rebirth} nor {Carlton Van Wyk}'s ability can be used. [LSJ 20090724] [ANK 20180129-1]
R0006	E	PRIMARY	100004|Abactor.3	The Blood Hunt referendum is still a Blood Hunt: {Lay Low} can be used, {Trophy: Diablerie} would prevent the referendum. [LSJ 20091026] [LSJ 20100112]
R0008	P	secondary	100005|Abandoning the Flesh.1	Cannot be played when burned as a result of a Blood Hunt referendum. [LSJ 20070417]
R0053	E	PRIMARY	100060|Anathema.3	Diablerie does not trigger Anathema. [LSJ 20021122-2] [ANK 20211112]
R0093	E	PRIMARY	100105|Ashes to Ashes.3	[for] If played on a diablerie attempt (eg. {Amaranth}), the diablerie is unsuccessful. Another {Amaranth} can be played. [LSJ 19970224] [LSJ 20011214-4]
R0095	P	secondary	100105|Ashes to Ashes.5	[for] Cannot be played when burned as a result of a Blood Hunt referendum. [LSJ 20070417]
R0186	E	secondary	100195|Blood Brother Ambush.1	Can be used by a Brujah Antitribu taking an action while in torpor. If this happens, the blocker loses the opportunity to commit diablerie. [RTR 20010710]
R0285	E	secondary	100298|Carlton Van Wyk.1	He can use his ability to burn a vampire who has committed diablerie the turn she is recruited. [ANK 20180517]
R0324	E	secondary	100323|Change of Target.9	If used while leaving torpor, the blocker does not get an opportunity for diablerie. [LSJ 20050105-2]
R0342	P	PRIMARY	100334|Charming Lobby.11	A bloodhunt referendum following a diablerie is not a referendum called by a vampire. [TOM 19950921]
R0399	P	PRIMARY	100415|Consignment to Duat.2	[ser] If it burns an ally as a result, this counts as a Ⓓ action burning an ally (eg. Trophies, {Predator's Transformation}). [ANK 20220507]
R0431	P	PRIMARY	100477|Cryptic Mission.1	If used on an ally and it burns as a result, this counts as a Ⓓ action burning an ally (eg. Trophies, {Predator's Transformation}). [ANK 20220507]
R0540	E	PRIMARY	100584|Draught of the Soul.3	[ACTION MODIFIER] If played on a diablerie, can be played before or after getting a Discipline card (if any), but must be played before the Blood Hunt. [RTR 19991206]
R0747	E	secondary	100805|Gangrel Conspiracy.1	Can only be played if a Blood Hunt referendum succeeds, after votes and ballots have been cast. [LSJ 20081203-2]
R0839	P	PRIMARY	100908|Heidelberg Castle, Germany.4	Cannot be used after a diablerie or an {Abactor} resolution and before the Blood Hunt: the Blood Hunt is part of the action although it is independent from it. [LSJ 20090722-2] [LSJ 20030618]
R1171	E	secondary	101223|Mirror Walk.4	[THA] If the action is blocked and it was leaving torpor, the blocker does not get an opportunity to diablerize. [PIB 20121216]
R1324	E	PRIMARY	101418|Political Struggle.2	If the victim is burned by diablerie, the votes gained from Political Struggle are gained before the blood hunt referendum. [LSJ 20050707]
R1338	P	PRIMARY	101430|Power Structure.1	Cannot be used during a Blood Hunt referendum, since there is no political action. [ANK 20190707]
R1428	P	PRIMARY	101565|Rebirth.1	Cannot be used following an {Amaranth} or an {Abactor} as they are not diablerie actions. [ANK 20190701]
R1443	P	PRIMARY	101581|Reform Body.1	If the vampire saves himself from diablerie, the diablerie is considered unsuccessful. The diablerist gets nothing from the victim, and no Blood Hunt is called. [LSJ 19970224]
R1445	E	PRIMARY	101581|Reform Body.3	Cannot be played when burned as a result of a Blood Hunt referendum. [LSJ 20010814-4] [LSJ 20070417]
R1498	E	PRIMARY	101642|Ritual of the Bitter Rose.1	Can be played after a diablerie, before the blood hunt. [ANK 20201228]
R1609	E	PRIMARY	101737|Shadow Court Satyr.8	He cannot use a card to commit diablerie (eg. {Amaranth}) [LSJ 20080717] [RTR 19970630]
R1653	E	PRIMARY	101797|Slake the Thirst.3	Can be played after a diablerie, before the blood hunt ([san] after {Amaranth}, [SAN] after a normal diablerie). [ANK 20201228]
R1691	E	PRIMARY	101836|Soul Stealing.3	[ACTION MODIFIER] If played on a diablerie, can be played before or after getting a Discipline card (if any), but must be played before the Blood Hunt. [RTR 19991206]
R1753	E	PRIMARY	101892|Succubus.2	If she steals a life from an ally and it burns, this counts as a Ⓓ action burning an ally (eg. for Trophies). [ANK 20220507]
R1789	E	PRIMARY	101928|Taking the Skin: Minion.3	[abo] [ACTION MODIFIER] If played on a diablerie, can be played before or after getting a Discipline card (if any), but must be played before the Blood Hunt. [RTR 19991206]
R1897	E	PRIMARY	102027|Trophy: Chosen.1	If the recipient of the Trophy chooses to burn it, there is no other effect. He does not unlock and does not gain the four blood. [LSJ 20070309-1]
R1898	E	PRIMARY	102029|Trophy: Diablerie.1	May be retrieved when diablerizing a Red List vampire prior to the blood hunt referendum: it protects the vampire in that referendum. All copies on the vampire are then burned at the end of that action. [LSJ 20050222]
R1926	E	secondary	102069|Undying Thirst.1	If the vampire is empty, he must either hunt or diablerize, this is a mandatory action. [LSJ 20081213-2]
R1927	E	PRIMARY	102069|Undying Thirst.2	Has no effect on a vampire that cannot commit diablerie (eg. because of {Humanitas}). [LSJ 20050324-2]
R2003	E	secondary	102149|Warsaw Station.1	Can be burned after the announcement of a diablerie action to bring the target Nosferatu out of torpor. The action will still be successful if unblocked, but will have no effect: no diablerie happen. [ANK 20220218] [ANK 20181107]
R2163	E	PRIMARY	200229|Byzar.1	His ability will make a diablerie unsuccessful (blood and equipment stay on him). [LSJ 20100228]
R2165	E	PRIMARY	200229|Byzar.3	If {Amaranth} burns him and he comes back in torpor, another {Amaranth} can be played. [ANK 20210424]
R2229	E	PRIMARY	200582|Hector Trelane.1	The opponent gains pool if he's burned because of a bloodhunt during combat (eg. after {Amaranth}). [LSJ 20091210]
R2393	P	secondary	201123|Phillipe Rigaud.1	If he cannot commit diablerie, then his card text does not force him to: he is not "stuck", he is free to take any other legal action. [LSJ 20050514]
R2394	P	PRIMARY	201123|Phillipe Rigaud.2	As long as there is an opportunity for diablerie, he must attempt it, even if he did so already and unlocked. [ANK 20211010]
