R0820	card-specific counter-timing on Anarch Convert's own ability sequence; no general principle beyond this card	100876|Hackerspace.1	A counter is added when {Anarch Convert} enters play, before using his ability. If he uses his ability to make a non-anarch vampire anarch, a second counter is added. [ANK 20210410]
R0840	reminder that moving blood beyond a vampire's capacity caps at the target and the excess goes to the blood bank; restates a basic capacity rule any fluent judge knows; nearest 5.1	100908|Heidelberg Castle, Germany.5	Can be used to move more blood than the target can hold: the excess goes to the blood bank. [ANK 20170804]
R0870	confirms the plain reading of "current action card" (whichever action card is active); restates evident wording, no transfer	100927|High Orun.1	Applies to the current action card, if any. [LSJ 20091002]
R0877	card's own open-bid auction procedure; not a rulebook mechanic (only "similar to" a referendum); fails transfer — nearest 3.7.5	100939|Hostile Takeover.1	The bidding is conducted in an open format, similar to a referendum. The player who played the card conducts the auction. [LSJ 19990104]
R0879	specific combo of gaining pool without needing to cancel an [aus] card; fails transfer — nearest 1.8	100947|I am Legion.1	[DAI][OBF] Can be used to gain a pool after a successful action, without cancelling an [aus] card. [LSJ 20100902-2]
R0882	card's own participate/pass procedure for its titled-vampire blood transfer; fails transfer — nearest 5.8	100950|Igoli's Loyalty.1	The acting Methuselah participates, and a Methuselah can pass as many times as they want. If only the acting Methuselah has a ready titled vampire, they can use the effect to transfer as much blood as they want to their pool. [LSJ 20051026]
R0897	card's own roaming-retainer restriction when acquired via a "this vampire employs" ability rather than the normal employ action; fails transfer — nearest 3.7.4	100956|Ilomba.3	If grabbed by a "this vampire employs" effect (not the normal employ action), the vampire receiving Ilomba does not get to move Ilomba on to a new target. [LSJ 20090824] [LSJ 20051121]
R0906	trivial discipline-tag matching (a Potence strike is enhanced by Potence-boosters); fails non-obviousness — nearest 4.3	100965|Improvised Tactics.1	[pot] Is a strike that requires Potence, so would be enhanced by {Increased Strength}. [LSJ 20030611]
R0907	card-specific targeting of a resourceless minion; no stated general rule beyond ordinary "no effect" consequences — nearest 3.4	100966|Impundulu.1	Can use his action on a vampire with no blood. [RTR 20010711]
R0921	card's own counter-tracking mechanism, scoped to its own ability; fails transfer — nearest 1.6	100978|Infernal Familiar.2	No counter is added if the vampire uses another game effect (eg. {Ian Forestal}, another {Infernal Familiar}) to play a card that requires a Discipline they do not have. [RTR 20020501] [LSJ 20100517]
