R0054	E	secondary	100060|Anathema.4	Does not trigger if the vampire is burned by aggravated damage during damage resolution. [LSJ 20021120]
R0130	P	PRIMARY	100144|Bear-Baiting.1	Damage is environmental. [RTR 19970630]
R0139	P	PRIMARY	100153|Bestial Vengeance.1	Damage is environmental. [RTR 19970630]
R0140	E	PRIMARY	100153|Bestial Vengeance.2	Bestial Vengeance's damage is inflicted whether or not the opposing minion's strike burns the retainer. [LSJ 20090616]
R0154	E	PRIMARY	100166|Black Gloves.1	Damage done to the bearer is environmental. [LSJ 19970801]
R0166	P	PRIMARY	100180|Blessed Blade.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0172	P	PRIMARY	100185|Blessing of the Name.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0175	E	PRIMARY	100190|Blissful Agony.1	[val] Damage is environmental. [RTR 19970630]
R0183	P	PRIMARY	100190|Blissful Agony.9	[ani] Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0190	P	PRIMARY	100201|Blood Fury.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0196	E	PRIMARY	100203|Blood of Acid.1	Damage from Blood of Acid is environmental. [RTR 19970630] [LSJ 20020708]
R0197	E	PRIMARY	100203|Blood of Acid.2	Environmental damage is not counted by Blood of Acid. [RTR 19970630]
R0198	E	PRIMARY	100203|Blood of Acid.3	Damage is applied even if the wielder goes to torpor as a result of the opponent's strike. [PIB 20150426]
R0199	E	secondary	100203|Blood of Acid.4	Proceed with strikes damage prevention (acting player first), then the target can prevent Blood of Acid damage, if any. All the damage is applied (and the blood lost) at once, after all preventions.[ANK 20170427] [LSJ 20040805]
R0202	P	PRIMARY	100208|Blood Rage.1	[THA] Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0208	P	PRIMARY	100213|Blood Tempering.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0222	E	PRIMARY	100231|Body of Sun.1	[pro] Damage done to the striking minion is environmental. [LSJ 19970801]
R0223	P	PRIMARY	100232|Bollix.1	[tha] Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0227	E	PRIMARY	100233|Bomb.2	Damage done to the bearer is environmental. [LSJ 19970801]
R0239	E	PRIMARY	100241|Botched Move.1	Damage is environmental. [RTR 19970630]
R0244	E	PRIMARY	100250|Breath of the Dragon.1	Damage done to the striking minion is environmental. [LSJ 19970801]
R0257	P	PRIMARY	100264|Brute Force.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0262	E	PRIMARY	100271|Burning Wrath.1	All the damage is aggravated. [LSJ 20020122]
R0263	E	PRIMARY	100273|Burst of Sunlight.1	Damage done to the striking minion is environmental, it is inflicted regardless of the range. [LSJ 19970801] [ANK 20221212]
R0272	E	PRIMARY	100282|Call the Wild Hunt.3	[ANI][PRO] The damage is environmental. [LSJ 20060217]
R0287	E	PRIMARY	100307|Catatonic Fear.1	[PRE] Damage is done by the vampire (not environmental). [RTR 19970630] [LSJ 19990723]
R0288	E	PRIMARY	100307|Catatonic Fear.2	[PRE] The damage is inflicted after the end of combat. [RTR 19970630]
R0289	E	secondary	100307|Catatonic Fear.3	[PRE] If the combat continues or a new combat begins, no damage is done. [RTR 20020501]
R0291	E	secondary	100307|Catatonic Fear.5	[PRE] Is a damage dealing strike and can be modified by effects like {Target Vitals} or {Dam the Heart's River}. [ANK 20170111] [LSJ 20071011]
R0294	P	PRIMARY	100309|Cauldron of Blood.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0327	P	PRIMARY	100328|Channeling the Beast.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0330	P	PRIMARY	100330|Charge of the Buffalo.3	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0360	P	PRIMARY	100358|Cleave.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0380	P	PRIMARY	100389|Compress.1	[pot] Additional damage inherits all of the properties of the base damage. [TOM 19960225]
