R1596	3.6,3.3	P
R1597	3.6	P
R1598	3.6	P
R1599	5.7	E	Slave-substitution template (shared w/ Sniper Rifle.4/R1669): effects scoped to "the acting minion" don't extend to a Slave standing in for it
R1600	1.7	P
R1601	2.3,2.4	P
R1602	5.5	E
R1603	1.5,5.5	E
R1604	5.5	C	"combat card usable only in combat" restates the obvious combat-timing rule; fails non-obviousness. Nearest 5.5 (Satyr's as-a-vampire ability) but teaches nothing about that mechanism specifically
R1605	5.5,1.12	E
R1606	1.8,5.5	E
R1607	1.12,5.5	E
R1608	5.5	E
R1609	3.7.8,5.5	E
R1610	5.3,5.5	E
R1611	5.3,5.5,4.4	E
R1612	4.6	E	!TENSION:no-effect-plays dodge is not prevented, it just accomplishes nothing — same question as Draba.3, opposite mechanism
R1613	4.4,4.3	E
R1614	4.8	P
R1615	4.2	P
R1616	4.8	P
R1617	5.6	E
R1618	1.11	E
R1619	4.4,4.3	E
R1620	4.4	C	bare damage-type classification fact about one card; no interaction or consequence stated. Fails transfer — doesn't inform another card's ruling
R1621	2.5,6.5	E
R1622	3.5	P
R1623	1.6	E	!TENSION:no-effect-plays destroy-equipment card requires equipment to exist; prohibition-side parallel to the prevention-card template below
R1624	1.6	E
R1625	3.1	E
R1626	1.12	C	clarifies scope of this card's own rearrange effect (which item types are covered); doesn't inform other cards' effect scopes. Nearest 1.12 (cards on cards)
R1627	1.14	C	numeric/no-limit fact specific to this card's own storage capacity; no transfer to other storage cards, which print their own limits. Nearest 1.14
R1628	1.13,1.12	E
R1629	1.6,3.7.3	E
R1630	4.8	P
R1631	4.1,4.8	P
R1632	2.2	P
R1633	1.9,2.2	P
R1634	4.5,1.6	E	!TENSION:no-effect-plays prevention card requires unresolved damage to be playable at all
R1635	3.3	C	pure card-vs-card fact ({Unleash Hell's Fury} vs this card's bearer); fails transfer — concerns only these two named cards. Nearest 3.3 (who may block)
R1636	3.3	E
R1637	3.1	E	!TENSION:no-effect-plays a zero-blood vampire remains a valid target even though the action may accomplish nothing
R1638	3.1	E
R1639	1.14	E
R1640	2.5	E
R1641	2.1	E
R1642	4.9	E
R1643	4.9	E
R1644	4.9,3.5	E
R1645	2.1,4.9	E
R1646	4.5,1.6	E	!TENSION:no-effect-plays same prevention-requires-damage template as R1634
R1647	4.5,1.6	E	!TENSION:no-effect-plays same template
R1648	4.5	P
R1649	2.2	P
R1650	1.9,2.2	P
R1651	2.4	E
R1652	1.2	E
R1653	3.7.8,2.1	E
R1654	2.3	E
R1655	4.4	P
R1656	5.2,2.3	E
R1657	3.7.3	E
R1658	1.7	E
R1659	5.4,5.5	E
R1660	1.7	E
R1661	1.7	E
R1662	3.6	E
R1663	3.6	P
R1664	4.7,4.9	E
R1665	4.9,4.10	E
R1666	4.2	P
R1667	4.2	E
R1668	4.2,4.9	E
R1669	5.7,4.2	E	Slave-substitution template, shared w/ R1599
R1670	4.2,4.10	E
R1671	4.5,1.6	E	!TENSION:no-effect-plays same template
R1672	4.5	P
R1673	4.5	P
R1674	6.7	E
R1675	3.7.2,3.4	P
R1676	4.6	E
R1677	4.3	E
R1678	4.5	E
R1679	4.3,4.7	E
R1680	1.1	E	!TENSION:no-effect-plays matches calibration's Blood Fury.6 exactly (opponent barred from playing prevention cards even for zero effect)
R1681	5.1,3.5	E
R1682	1.10	E
R1683	1.10,4.10	E
R1684	1.13,1.6,5.1	E
R1685	5.7	E
R1686	1.6	E
R1687	1.6	E
R1688	1.7,1.6,3.7.4	E	!DROPPED:5.5
R1689	5.4	P
R1690	5.4,3.7.5	E
R1691	3.7.8,2.1	E
R1692	3.1	E
R1693	3.3	E
R1694	3.3	E
R1695	1.7,6.1	E
R1696	1.13,5.1	E
R1697	1.13	E
R1698	1.4,1.11	E
R1699	1.4	C	card-vs-card exemption fact ({Wormwood} doesn't affect these tokens); fails transfer — concerns only this pairing. Nearest 1.4 (representation)
R1700	4.3,2.1	E
