R1451	6.5	E	
R1452	4.5	P	
R1453	4.9,3.6	P	
R1454	4.9	C	two-card ordering interaction (Relentless Reaper vs {Psyche!}); fails transfer — no general rule beyond this specific pairing. Nearest 4.9, which doesn't own ordering between arbitrary effect pairs
R1455	4.8,4.9,2.4	P	
R1456	1.1,4.3	P	
R1457	3.1	P	
R1458	1.1,1.7,6.5	P	
R1459	3.2	E	!TENSION:no-effect-plays playable even though the stealth isn't needed
R1460	2.2	P	
R1461	1.9,2.2	E	
R1462	4.5	P	
R1463	4.5	P	
R1464	4.5	P	
R1465	4.5,4.4	P	
R1466	2.1	C	reaction usable at the moment {Form of Corruption} is put into play, protecting only against that card; fails transfer beyond this pairing. Nearest 2.1, which covers generic sequencing, not this abnormal-entry reaction window
R1467	4.8,1.2	P	
R1468	3.7.2,3.4	P	
R1469	6.3,1.6	P	
R1470	3.7.7	P	
R1471	1.10,1.11	E	
R1472	6.2,3.3	E	
R1473	6.3,1.6	P	
R1474	5.2	C	confirms lock status alone doesn't bar targeting; fails non-obviousness — default targeting rules already establish this absent an explicit readiness restriction. Nearest 5.2
R1475	4.8,4.9	P	
R1476	4.4	E	
R1477	5.3,5.4	P	
R1478	6.2	C	clarifies this card's political effect does not grant control of the opponent's minion; fails transfer — a negative scope statement about this card's own text. Nearest 6.2
R1479	1.9	P	
R1480	3.7.5,3.1	P	
R1481	1.10,1.12	G	cards entering play with a variable (X) counter count burn immediately if X=0; recurs verbatim at {Secret Horde}.1 so it transfers, but no section owns "counter-count-on-entry" mechanics — 1.10 owns burn triggers, 1.12 owns counters on hosts, neither claims the entry convention
R1482	1.6	C	card-specific usage condition (cannot use the burn option while controlling a ready Kiasyd); fails transfer — applies only to this card's own gating clause. Nearest 1.6
R1483	1.12,5.3	E	
R1484	4.8,1.2	P	
R1485	1.8,4.3	P	
R1486	1.8,4.8	P	
R1487	1.1,4.3	E	!TENSION:no-effect-plays a prohibition on additional strikes bars playing one even for a side benefit
R1488	4.9,4.4	E	
R1489	4.9,4.2	E	
R1490	4.6,4.9	E	
R1491	4.9	E	
R1492	4.4,2.3	P	
R1493	6.5	P	
R1494	6.5	P	
R1495	6.5	P	
R1496	6.5	P	
R1497	6.5	E	
R1498	3.7.8,2.3	E	
R1499	4.5	C	confirms superior discipline doesn't change the card's stated prevention fraction; fails non-obviousness — card text controls and superior doesn't implicitly scale printed values. Nearest 4.5
R1500	4.5	P	
R1501	3.7.4	P	
R1502	3.7.7	P	
R1503	4.5	C	describes this card's own targeting placement (played on the vampire about to take the damage); fails transfer — restates the card's own text. Nearest 4.5
R1504	4.5,2.1	P	
R1505	4.5,4.4	P	
R1506	4.2,4.5	P	
R1507	4.6,4.7	P	
R1508	4.4	E	
R1509	4.9,4.7	P	
R1510	1.2,5.3	P	
R1511	4.9,5.2	P	
