R2031	2.2	P
R2032	2.2,1.9	E
R2033	-	C	Winged Second's "Second" is a pseudo-minion not itself in combat; retainer combat-abilities not applying to it is unique to this card's stand-in mechanic — fails transfer, no other card creates this kind of entity. Nearest 5.6, which doesn't own the "Second" concept.
R2034	-	C	Withering's own damage-reduction effect explicitly excludes the current strike; fails transfer — no other card shares this wording, and any judge reading the card would expect it. Nearest 4.3.
R2035	3.6	E
R2036	4.3	E
R2037	1.6,2.5	E
R2038	2.5	P
R2039	-	C	!WORDING mechanics of a two-card combo (Wormwood capping capacity + Orun adding to it); fails transfer beyond this pairing. Nearest 5.1, which doesn't own capacity-stacking between two named cards.
R2040	6.7,1.13	E
R2041	1.1	P
R2042	5.8,5.7	G	Sect-as-a-trait watch-list gap: precedence of a temporary sect override over the underlying sect, and its persistence through a later underlying-sect change. Nothing owns sect itself; nearest 5.8 (titles depend on sect) and 5.7 (sect-derived traits).
R2043	5.8	P
R2044	3.7.2	P
R2045	4.4	E
R2046	3.5,3.7.5	E
R2047	1.7,5.2	E
R2048	3.5,3.7.5	E
R2049	4.9,3.7.5	E
R2050	4.9,3.7.5	P
R2051	-	C	Standard "effect ends when its source leaves play" applied to a continuous bonus, including via ousting; fails non-obviousness — any judge expects a burned or ousted card's bonus to lapse. Nearest 6.4.
R2052	2.2	E
R2053	-	C	Card-specific text for Young Bloods' own built-in low-blood-target ability; fails transfer, no other card shares this wording. Nearest 5.7.
R2054	3.4	E
R2055	4.3,5.4	E	!WORDING double negative ("cannot normally not be used") is unclear; read as "cannot normally be used."
R2056	6.1	E
R2057	3.5	E
R2058	4.4	E
R2059	4.3	E
R2060	3.6	P
R2061	3.6	P
R2062	1.2,3.8	E
R2063	1.2	E
R2064	2.1	E
R2065	3.7.1	E
R2066	4.3,4.10	E
R2067	3.3	E
R2068	3.1,3.4	E
R2069	4.10	G	No section owns whether placing a card/counter on a minion opens a "steal" opportunity — a real transferable principle no scope line claims. Nearest 4.10 (equipment theft), but that section is about stealing in combat, not placement triggers.
R2070	5.2,6.5	E
R2071	1.3	P
R2072	1.7,1.3	E
R2073	4.6	E
R2074	5.5	E
R2075	1.3	E
R2076	4.2	P
R2077	5.2,3.5	E
R2078	1.7,6.1	E	!WORDING referent of "they" is unclear (equipment cards vs. the Methuselah); read as cost reduction applying to minion cards played by the Methuselah controlling them.
R2079	1.7,5.2	P
R2080	1.7	E
R2081	5.5,1.7	E
R2082	1.7,1.3	E
R2083	3.1,6.7	E
R2084	3.1	E
R2085	3.2	E
R2086	3.2	E
R2087	3.2	E	!TENSION:no-effect-plays playable on a no/negative-stealth minion though it will do nothing; prohibition-style rulings elsewhere point the other way.
R2088	3.3,3.2	E
R2089	3.6	P
R2090	3.6	P
R2091	3.6	P
R2092	3.6	P
R2093	5.2,2.2	E
R2094	1.3	P
R2095	4.4	E
R2096	4.8	E
R2097	6.9	E
R2098	6.9,6.4	E
R2099	6.1	E
R2100	-	C	Specific combo of Agaitas' library-search output with Concealed Weapon's selection pool; fails transfer beyond this pairing. Nearest 4.10.
R2101	1.8,1.9	E
R2102	4.9,3.6	P
R2103	4.9	E
R2104	4.4	E
R2105	5.2	E
R2106	3.3,5.2	E
R2107	3.7.6,5.3	E
R2108	5.8	P
R2109	3.1	E
R2110	4.9,5.3	E
R2111	4.9	E
R2112	4.9	E
R2113	5.8	P
R2114	1.13,1.8	P
R2115	-	C	Card-specific applicability condition (Anarch Convert converting an already-anarch, untitled vampire); fails transfer to other conversion-style cards. Nearest 5.8.
R2116	1.2,3.7.1	E
R2117	3.4,1.2	E
R2118	3.4,1.2	P
R2119	3.7.1	E
R2120	3.4,3.7.1	E
R2121	2.2,1.8	E
R2122	6.7,5.2	E
R2123	3.2,1.2	E
R2124	1.9	E
R2125	1.13	P
R2126	1.13	E
R2127	3.7.4,5.6	E
R2128	2.5	P
R2129	5.8	P
R2130	1.2,3.8	E
R2131	3.1	P
R2132	3.3	P
R2133	1.7	P
R2134	2.1	E
R2135	3.7.1	E
R2136	5.2	E
R2137	5.2	E
R2138	3.7.6	E
R2139	3.7.6	E
R2140	5.8	P
R2141	3.7.5,6.5	E
R2142	4.3,1.8	E
R2143	1.8,1.9	P
R2144	1.8,1.2	E
R2145	1.8,3.5	E
R2146	3.7.5	E
R2147	3.7.6	E
R2148	3.7.6	E
R2149	5.8	P
R2150	5.8	P
R2151	3.7.4	E
R2152	5.8	P
R2153	1.6,5.8	E
R2154	1.6,5.8	E
R2155	3.7.3,3.7.4	E
R2156	1.3,3.7.3	E
R2157	3.7.5	E
R2158	1.2,3.8	E
R2159	1.6	P
R2160	1.7	E
R2161	1.7,6.3	E
R2162	5.1,5.8	E
R2163	3.7.8	E
R2164	4.4	E
R2165	3.7.8,1.2	E
R2166	6.1,1.13	E
R2167	1.9,5.4	P
R2168	4.2	P
R2169	2.5,1.12	P
R2170	6.1,1.11	E
R2171	3.1,1.14	E
R2172	5.8	P
R2173	5.3	P
R2174	4.5,5.5	E
R2175	4.5	E
